Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Administrative Specialist - Third-party,Amreyah Cement  InterCement,"Bourj Alarab, Alexandria, Egypt",4 hours ago,Full Time,Entry Level · 1 - 5 Yrs of Exp · Administration· Administration· Business Administration· Reporting· office· Communication skills· Management· Microsoft Office· MS Office,
Food And Beverage Manager - Assuit Club,Wadi Degla Group,"New Assuit, Assiut, Egypt",4 hours ago,Full Time,Manager · 5 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management· Food· Beverage· Management· Hotels· Tourism· MSO· HYgiene· FMCG,
Property Advisor,The Address Investments for Real Estate Consultancy,"New Cairo, Cairo, Egypt",4 hours ago,Full Time,Entry Level · 1 - 1 Yrs of Exp · Sales/Retail· Real Estate· Communication· Sales· sales skills· Sales Target· Skills· English· Communication skills,
Technology Administrator,Cultiv,"Heliopolis, Cairo, Egypt",4 hours ago,Full Time,Entry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Linux· Operating Systems· TCP· IP· RouterOS· Cisco,
Store Manager - Giza District,Defacto,"Giza, Egypt",4 hours ago,Full Time,Manager · 4 - 5 Yrs of Exp · Operations/Management · Sales/Retail· Sales· Retail· Sales Target· Sales Skills· Administration· Operations· Management· English,
مهندس ميكانيكا,Confidential,"Qalubia, Egypt",4 hours ago,Full Time,Experienced · 4 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other· Mechanical Engineering· Mechanical· Mechanical Maintenance,
Business Writer,Cultiv,"Heliopolis, Cairo, Egypt",4 hours ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Writing/Editorial · Media/Journalism/Publishing· Writing· Business Development· Microsoft Office· Journalism· Editorial· Business Writing· Business Administration· Computer Skills,
Technical Sales Engineer,Unitech,"6th of October, Giza, Egypt",4 hours ago,Full Time,Entry Level · 1+ Yrs of Exp · males_only · Sales/Retail· Engineering· English· Sales· Sales Target· sales skills,
Store Manager - Cairo District,Defacto,"Giza, Egypt",4 hours ago,Full Time,Manager · 4 - 5 Yrs of Exp · Operations/Management · Sales/Retail· Sales· Retail· Sales Target· Sales Skills· Administration· Operations· Management· English,
Telesales Agent - English Account ((( Fixed Morning Shifts ))),Etisalat Egypt,"Cairo, Egypt",4 hours ago,Full Time,Entry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail· Customer Service· sales skills· Sales· Telesales,
